id,label,desc,birth_time,birth_precision,birth_placedeath_time,death_precision,death_place
Q10065,Taichang Emperor,emperor of the Ming Dynasty,+1582-08-28T00:00:00Z,11,Q956,+1620-09-26T00:00:00Z,11,Q956
Q10089,Julia Mancuso,American alpine skieri54U,+1984-03-09T00:00:00Z,11,Q49225,,,Q49225
Q10095,Annelise Coberger,New Zealand alpine skier,+1971-09-16T00:00:00Z,11,Q79990,,,Q79990
Q10106,Kerstin Szymkowiak,German skeleton racer,+1977-12-19T00:00:00Z,11,Q3167,,,Q3167
Q10112,Edith Hannam,British tennis player,+1878-11-28T00:00:00Z,11,Q23154,+1951-01-16T00:00:00Z,11,Q23154
Q10129,Lisa Raymond,American tennis player,+1973-08-10T00:00:00Z,11,Q1010236,,,Q1010236
Q10494,Alain Prost,French racing driver,+1955-02-24T00:00:00Z,11,Q471422,,,Q471422
Q10577,Tom Cleverley,English association football player,+1989-08-12T00:00:00Z,11,Q810196,,,Q810196
Q10590,Gavin Mahon,English association football player,+1977-01-02T00:00:00Z,11,Q2256,,,Q2256
Q10685,Louise Ebrel,singer,+1932-07-27T00:00:00Z,11,Q751380,,,Q751380
Q10723,Mark Yeates,Irish association football player,+1985-01-11T00:00:00Z,11,Q990099,,,Q990099
Q10727,Steve Leo Beleck,Cameroonian association football striker,+1993-02-21T00:00:00Z,11,Q3808,,,Q3808
Q10732,Daniel Pudil,Czech international footballer,+1985-09-27T00:00:00Z,11,Q1085,,,Q1085
Q10785,Cristian Battocchio,association football player,+1992-02-10T00:00:00Z,11,Q52535,,,Q52535
Q10883,Rachel Yankey,English international association football player,+1979-11-01T00:00:00Z,11,Q84,,,Q84
Q11079,Muḥammad ibn Jābir al-Ḥarrānī al-Battānī,"Muslim astronomer, astrologer, and mathematician",+0858-01-01T00:00:00Z,9,Q199547,+0929-01-01T00:00:00Z,9,Q199547
Q11124,Stephen Breyer,Associate Justice of the Supreme Court of the United States,+1938-08-15T00:00:00Z,11,Q62,,,Q62
Q11270,Fulgencio Batista,military leader of Cuba,+1901-01-16T00:00:00Z,11,Q806424,+1973-08-06T00:00:00Z,11,Q806424
Q11470,Sue Black,British computer scientist,+1962-01-01T00:00:00Z,9,Q1017943,,,Q1017943
Q11509,Xanana Gusmão,former President and Prime Minister of East Timor,+1946-06-20T00:00:00Z,11,Q1801231,,,Q1801231
Q11586,Annie Easley,American mathematician and rocket scientist,+1933-04-23T00:00:00Z,11,Q79867,+2011-06-25T00:00:00Z,11,Q79867
Q11603,Stan Coveleski,American Major League Baseball pitcher during the 1910s and 1920s who primarily threw the spitball,+1889-07-13T00:00:00Z,11,Q494164,+1984-03-20T00:00:00Z,11,Q494164
Q11605,Adele Goldberg,American computer scientist,+1945-07-22T00:00:00Z,11,Q37320,,,Q37320
Q11608,Anne Hutchinson,participant in the Antinomian Controversy,+1591-01-01T00:00:00Z,9,Q1876378,+1643-01-01T00:00:00Z,9,Q1876378
Q11612,Susan L. Graham,American computer scientist,+1942-09-16T00:00:00Z,11,Q37320,,,Q37320
Q11625,Ashawna Hailey,American computer scientist and philanthropist,+1949-10-08T00:00:00Z,11,Q49273,+2011-10-14T00:00:00Z,11,Q49273
Q11674,David Paterson,55th Governor of New York,+1954-05-20T00:00:00Z,11,Q18419,,,Q18419
Q11735,Michael Spindelegger,Austrian lawyer and politician,+1959-12-21T00:00:00Z,11,Q277965,,,Q277965
Q11812,Thomas Jefferson,3rd President of the United States of America,+1743-04-13T00:00:00Z,11,Q4179352,+1826-07-04T00:00:00Z,11,Q4179352
Q11881,John Tyler,10th President of the United States (in office from 1841 to 1845),+1790-03-29T00:00:00Z,11,Q337348,+1862-01-18T00:00:00Z,11,Q337348
Q11891,James K. Polk,"American politician, 11th President of the United States (in office from 1845 to 1849)",+1795-11-02T00:00:00Z,11,Q2029607,+1849-06-15T00:00:00Z,11,Q2029607
Q11966,Bafétimbi Gomis,French association football player,+1985-08-06T00:00:00Z,11,Q208866,,,Q208866
Q12087,Austregésilo de Athayde,Brazilian writer and journalist,+1898-09-25T00:00:00Z,11,Q622830,+1993-09-13T00:00:00Z,11,Q622830
Q12105,Sergio Bonelli,Italian comic book author,+1932-12-02T00:00:00Z,11,Q490,+2011-09-26T00:00:00Z,11,Q490
Q12325,James Buchanan,"American politician, 15th President of the United States (in office from 1857 to 1861)",+1791-04-23T00:00:00Z,11,Q5178922,+1868-06-01T00:00:00Z,11,Q5178922
Q12349,Inna,Romanian singer and songwriter,+1986-10-16T00:00:00Z,11,Q467498,,,Q467498
Q12492,Eugenia Maniokova,"Russian tennis player, winner of 1993 French Open (mixed doubles)",+1968-05-17T00:00:00Z,11,Q649,,,Q649
Q12628,Kálmán Kalocsay,writer of Esperanto literature,+1891-10-06T00:00:00Z,11,Q305749,+1976-02-23T00:00:00Z,11,Q305749
Q12756,Damià Campeny i Estrany,Spanish sculptor,+1771-04-12T00:00:00Z,11,Q11492,+1855-07-07T00:00:00Z,11,Q11492
Q12773,Julio Baghy,"Hungarian actor, author, novelist, poet, publisher and Esperantist",+1891-01-13T00:00:00Z,11,Q81581,+1967-03-18T00:00:00Z,11,Q81581
Q12827,Beth Ditto,American singer-songwriter,+1981-02-19T00:00:00Z,11,Q79709,,,Q79709
Q12844,Bertilo Wennergren,Swedish Esperantist,+1956-10-04T00:00:00Z,11,Q34,,,Q34
Q12871,Simon the Zealot,apostle of Jesus,+0100-00-00T00:00:00Z,7,Q431382,+0107-01-01T00:00:00Z,9,Q431382
Q12889,Detlev Blanke,interlinguistics lecturer,+1941-05-30T00:00:00Z,11,Q3879,+2016-08-20T00:00:00Z,11,Q3879
Q12890,Franko Luin,Swedish type designer,+1941-04-06T00:00:00Z,11,Q546,+2005-09-15T00:00:00Z,11,Q546
Q12903,Hisashi Inoue,Japanese playwright,+1934-11-16T00:00:00Z,11,Q1349146,+2010-04-09T00:00:00Z,11,Q1349146
Q12904,Jan Stanisław Skorupski,"Polish writer, poet, essayist and Esperantist",+1938-07-18T00:00:00Z,11,Q4267656,,,Q4267656
Q12922,Pierre-Alain Muet,member of the National Assembly of France,+1945-01-01T00:00:00Z,11,Q3351,,,Q3351
Q12923,Jean-Louis Touraine,member of the National Assembly of France,+1945-10-08T00:00:00Z,11,Q3348,,,Q3348
Q12931,Bernard Perrut,member of the National Assembly of France,+1957-01-24T00:00:00Z,11,Q208770,,,Q208770
Q12939,Michel Terrot,member of the National Assembly of France,+1948-12-18T00:00:00Z,11,Q456,,,Q456
Q12944,François-Noël Buffet,member of the Senate of France,+1963-08-28T00:00:00Z,11,,,,
Q12964,François-Xavier Villain,member of the National Assembly of France,+1950-05-31T00:00:00Z,11,Q28520,,,Q28520
Q12971,Leopold I of Belgium,German prince who became the first King of the Belgians,+1790-12-16T00:00:00Z,11,Q14821,+1865-12-10T00:00:00Z,11,Q14821
Q12999,Polydoor Lippens,Belgian inventor,+1810-03-16T00:00:00Z,11,Q12440,+1889-01-01T00:00:00Z,9,Q12440
Q13020,Tivadar Soros,"Hungarian lawyer, author and editor",+1894-01-01T00:00:00Z,9,Q1781,+1968-01-01T00:00:00Z,9,Q1781
Q13055,Rémy Vercoutre,French football goalkeeper,+1980-06-26T00:00:00Z,11,Q769160,,,Q769160
Q13057,Mathieu Gorgelin,French footballer,+1990-08-05T00:00:00Z,11,Q192166,,,Q192166
Q13304,Mouhamadou Dabo,French professional footballer,+1986-11-28T00:00:00Z,11,Q3718,,,Q3718
Q13374,Heorhiy V. Zaborsky,Belarusian architect,+1909-10-29T00:00:00Z,11,Q2280,+1999-03-27T00:00:00Z,11,Q2280
Q13387,Iosif Langbard,Soviet Belarus architect,+1882-01-06T00:00:00Z,11,Q850714,+1951-01-03T00:00:00Z,11,Q850714
Q13494,Jean-Pierre Papin,French association football player and manager,+1963-11-05T00:00:00Z,11,Q81997,,,Q81997
Q13532,Merikukka Forsius,Finnish politician,+1972-08-12T00:00:00Z,11,Q1757,,,Q1757
Q13552,Aki Rahunen,Finnish tennis player,+1971-12-24T00:00:00Z,11,Q1757,,,Q1757
Q13888,Luchino Visconti,"Italian theatre, opera and cinema director",+1906-11-02T00:00:00Z,11,Q490,+1976-03-17T00:00:00Z,11,Q490
Q13982,Alberto Bayo,Cuban military leader of the defeated left-wing Loyalists in the Spanish Civil War,+1892-03-27T00:00:00Z,11,Q115329,+1967-08-04T00:00:00Z,11,Q115329
Q14010,Ursula Martin,British computer scientist,+1953-08-03T00:00:00Z,11,Q84,,,Q84
Q14027,Tony Romo,American football player,+1980-04-21T00:00:00Z,11,Q16552,,,Q16552
Q14042,Willy Moon,New Zealander musician,+1989-06-02T00:00:00Z,11,Q23661,,,Q23661
Q14045,Moby,"American recording artist; musician, DJ, singer, songwriter",+1965-09-11T00:00:00Z,11,Q189074,,,Q189074
Q14049,Spencer Fullerton Baird,"American naturalist, ornithologist, ichthyologist, museum curator, and the 2nd Secretary of the Smithsonian",+1823-02-03T00:00:00Z,11,Q237896,+1887-08-19T00:00:00Z,11,Q237896
Q14096,Johanna Moore,computer scientist,+1950-00-00T00:00:00Z,7,,,,
Q14098,Caryn Navy,American mathematician and computer scientist,+1953-07-05T00:00:00Z,11,,,,
Q14101,Angela Orebaugh,American computer scientist and author,,,,,,
Q14102,Wanda Orlikowski,American computer scientist,,,,,,
Q14104,Susan Owicki,American computer scientist,,,,,,
Q14106,Stormy Peters,American computer scientist,+2000-00-00T00:00:00Z,7,,,,
Q14218,Colette Rolland,French computer scientist,+1943-12-19T00:00:00Z,11,Q1432112,,,Q1432112
Q14252,Diane Souvaine,computer scientist,+1954-01-01T00:00:00Z,9,,,,
Q14263,Ileana Streinu,Romanian-American computer scientist and mathematician,+2000-01-01T00:00:00Z,7,Q19660,,,Q19660
Q14277,William Herschel,"German-born British astronomer, technical expert, and composer",+1738-11-15T00:00:00Z,11,Q1715,+1822-08-25T00:00:00Z,11,Q1715
Q14307,Nicolas Leblanc,French chemist,+1742-12-06T00:00:00Z,11,Q1429635,+1806-01-16T00:00:00Z,11,Q1429635
Q14430,Ignacy Daszyński,Polish politician,+1886-10-26T00:00:00Z,11,Q1019899,+1936-10-31T00:00:00Z,11,Q1019899
Q14524,Charles Messier,French astronomer,+1730-06-26T00:00:00Z,11,Q501953,+1817-04-12T00:00:00Z,11,Q501953
Q14655,Pelagius,first king of Asturias,+0685-00-00T00:00:00Z,9,Q5173895,+0737-01-01T00:00:00Z,9,Q5173895
Q14718,Veikko Iivanainen,Finnish ski jumper and Nordic combined athlete,+1915-11-03T00:00:00Z,11,,+1949-11-30T00:00:00Z,11,
Q14737,Keijo Korhonen,Finnish ski jumper,+1956-10-07T00:00:00Z,11,Q614088,,,Q614088
Q14972,Bill Raisch,American dancer and actor,+1905-04-05T00:00:00Z,11,Q2000528,+1984-07-31T00:00:00Z,11,Q2000528
Q14974,Vladimir the Great,grand prince of Kiev,+0958-01-01T00:00:00Z,9,Q1899,+1015-07-15T00:00:00Z,11,Q1899
Q14989,Léon Delacroix,Belgian former prime minister,+1867-12-27T00:00:00Z,11,Q272243,+1929-10-15T00:00:00Z,11,Q272243
Q14999,Gaston Eyskens,Belgian prime minister,+1905-04-01T00:00:00Z,11,Q12460,+1988-01-03T00:00:00Z,11,Q12460
Q15024,Donald Tsang,Hong Kong politician,+1944-10-07T00:00:00Z,11,Q8646,,,Q8646
Q15145,José Batlle y Ordóñez,"Politician, President of Uruguay",+1856-05-21T00:00:00Z,11,Q1335,+1929-10-20T00:00:00Z,11,Q1335
Q15414,Robert Elias Fries,Swedish biologist,+1876-07-11T00:00:00Z,11,Q10710237,+1966-01-29T00:00:00Z,11,Q10710237
Q15435,Vincenzo Briganti,"1766-1836, Italian botanist",+1766-06-07T00:00:00Z,11,Q81486,+1836-04-05T00:00:00Z,11,Q81486
Q15469,William John Hamilton,"1805-1867, British geologist",+1805-07-05T00:00:00Z,11,Q2305226,+1867-06-27T00:00:00Z,11,Q2305226
Q15482,William Jack,"1795-1822, Scottish botanist",+1795-01-29T00:00:00Z,11,Q36405,+1822-09-15T00:00:00Z,11,Q36405
Q15512,Bershawn Jackson,American athlete,+1983-05-08T00:00:00Z,11,Q8652,,,Q8652
Q15547,Denis Nizhegorodov,Russian Olympic race walker,+1980-07-26T00:00:00Z,11,Q18764887,,,Q18764887
Q15615,Lil Wayne,"American rapper, singer, record executive and businessman",+1982-09-27T00:00:00Z,11,Q34404,,,Q34404
Q15750,Timo Murama,Finnish ski jumper and Nordic combined athlete,+1913-10-15T00:00:00Z,11,Q103717,+1981-01-17T00:00:00Z,11,Q103717
Q15751,Jarkko Määttä,Finnish ski jumper,+1994-12-28T00:00:00Z,11,Q748533,,,Q748533
Q15769,Nikolay Ozolin,Soviet athlete and scientist,+1906-10-20T00:00:00Z,11,Q2309210,+2000-06-25T00:00:00Z,11,Q2309210
Q15802,Daniel Passarella,Argentine association football player,+1953-05-25T00:00:00Z,11,Q2755081,,,Q2755081
Q15803,Simon Jenko,"Slovene poet, lyricist and writer (1835–1869)",+1835-10-27T00:00:00Z,11,Q2339792,+1869-10-18T00:00:00Z,11,Q2339792
Q15904,Milan Jesih,"Slovene poet, playwright and translator",+1950-01-01T00:00:00Z,11,Q437,,,Q437
Q15944,Walter Breisky,"1871-1944, Austrian Beamter and politician",+1871-07-08T00:00:00Z,11,Q70,+1944-09-25T00:00:00Z,11,Q70
Q15948,Émile Durkheim,French sociologist,+1858-04-15T00:00:00Z,11,Q173695,+1917-11-15T00:00:00Z,11,Q173695
Q15975,Montesquieu,French social commentator and political thinker,+1689-01-18T00:00:00Z,11,Q1859459,+1755-02-10T00:00:00Z,11,Q1859459
Q15983,Charly Gaul,professional cyclist (1932-2005),+1932-12-08T00:00:00Z,11,Q1016214,+2005-12-06T00:00:00Z,11,Q1016214
Q15990,Gaston Geens,Belgian politician and former minister-president of Flanders,+1931-06-10T00:00:00Z,11,Q984877,+2002-06-05T00:00:00Z,11,Q984877
Q16001,Maurice Gourdault-Montagne,French diplomat,+1953-11-16T00:00:00Z,11,Q90,,,Q90
Q16019,Wolfgang Schäuble,"German politician (CDU), President of the Bundestag",+1942-09-18T00:00:00Z,11,Q2833,,,Q2833
Q16285,Mario Benedetti,"Uruguayan journalist, novelist, and poet",+1920-09-14T00:00:00Z,11,Q664156,+2009-05-17T00:00:00Z,11,Q664156
Q16378,Vijaygupta Maurya,Gujarati Science writer and story writer from India,+1909-03-26T00:00:00Z,11,Q6419912,+1992-07-10T00:00:00Z,11,Q6419912
Q16389,Charles K. Kao,Hong Kong-British-American physicist,+1933-11-04T00:00:00Z,11,Q8686,+2018-09-23T00:00:00Z,11,Q8686
Q16397,Bruce Lee,"Hong Kong-American actor, martial artist",+1940-11-27T00:00:00Z,11,Q7413971,+1973-07-20T00:00:00Z,11,Q7413971
Q16426,Heinz Mellmann,German graphic artist,+1913-11-10T00:00:00Z,11,Q2916,+1945-05-05T00:00:00Z,11,Q2916
Q16427,Clive Sarstedt,British pop music singer,+1944-01-21T00:00:00Z,11,Q200049,,,Q200049
Q16628,Wen Jiabao,former Premier of the People's Republic of China,+1942-09-15T00:00:00Z,11,Q11736,,,Q11736
Q16766,Andy Lau,Hong Kong actor and singer,+1961-09-27T00:00:00Z,11,Q1758870,,,Q1758870
Q16824,Carl Junker,Austrian Journalist and Historian (1864-1928),+1864-08-10T00:00:00Z,11,Q1741,+1928-01-01T00:00:00Z,9,Q1741
Q16867,Edgar Allan Poe,"American author, poet, editor and literary critic",+1809-01-19T00:00:00Z,11,Q100,+1849-10-07T00:00:00Z,11,Q100
Q16996,Vsevolod Solovyov,Russian historical novelist,+1849-01-01T00:00:00Z,11,Q649,+1903-10-20T00:00:00Z,11,Q649
Q17016,Veikko Salmenranta,Finnish ski jumper,+1927-01-09T00:00:00Z,11,,,,
Q17084,Oiva Valonen,Finnish ski jumper and Nordic combined skier,+1911-09-27T00:00:00Z,11,,+1990-03-15T00:00:00Z,11,
Q17131,Pontius Pilatus,"was the fifth Prefect of the Roman province of Judaea, from AD 26–36",-0012-12-01T00:00:00Z,10,Q1284,+0038-00-00T00:00:00Z,9,Q1284
Q17500,Xavi,Spanish professional footballer,+1980-01-25T00:00:00Z,11,Q13939,,,Q13939
Q17520,Kathleen Antonelli,Irish computer programmer,+1921-02-12T00:00:00Z,11,Q2078153,+2006-04-20T00:00:00Z,11,Q2078153
Q17525,Sarah Bagley,American labor leader,+1806-04-19T00:00:00Z,11,Q54438,+1883-06-23T00:00:00Z,11,Q54438
Q17693,Kate Bellingham,British engineer and television presenter,+1963-01-01T00:00:00Z,9,,,,
Q17892,Sappho,ancient Greek lyric poet,-0630-00-00T00:00:00Z,9,Q1018197,-0570-00-00T00:00:00Z,9,Q1018197
Q17893,John Clayton,"1694-1773, American colonial botanist",+1694-01-01T00:00:00Z,9,Q19186,+1773-12-15T00:00:00Z,11,Q19186
Q17959,Auguste Boissonneau,French ornithologist and Ocularist,+1802-06-26T00:00:00Z,11,Q288,+1883-07-07T00:00:00Z,11,Q288
Q18098,Attila A. Tóth,Hungarian artist,+2000-00-00T00:00:00Z,7,,,,
Q18427,Eckhard Bick,"researcher, University of Southern Denmark, esperantist",+1958-07-16T00:00:00Z,11,,,,
Q18436,Émile Boirac,"French philosopher, parapsychologist, promoter of Esperanto and writer",+1851-08-26T00:00:00Z,11,Q609871,+1917-09-20T00:00:00Z,11,Q609871
Q18448,Osmo Buller,"Finnish Esperantist, former General Director of the World Esperanto Association",+1950-11-12T00:00:00Z,11,Q985456,,,Q985456
Q18449,Montagu C. Butler,"British academic, librarian, lexicographer and musician",+1884-01-25T00:00:00Z,11,Q84,+1970-05-05T00:00:00Z,11,Q84
Q18718,Géza Imre,Hungarian fencer,+1974-12-23T00:00:00Z,11,Q1781,,,Q1781
Q18753,Roberto Trashorras,Spanish footballer,+1981-02-28T00:00:00Z,11,Q1444243,,,Q1444243
Q18765,Burak Yılmaz,Turkish international footballer,+1985-07-15T00:00:00Z,11,Q6487,,,Q6487
Q18804,Rebecca Black,"American YouTuber, recording artist, singer",+1997-06-21T00:00:00Z,11,Q49219,,,Q49219
Q18809,Anatoly Lunacharsky,Russian Marxist revolutionary,+1875-11-11T00:00:00Z,11,Q156747,+1933-12-26T00:00:00Z,11,Q156747
Q18918,Sam Witwer,American actor and musician,+1977-10-20T00:00:00Z,11,Q1531184,,,Q1531184
Q18920,Steve Jablonsky,American composer,+1970-10-09T00:00:00Z,11,Q65,,,Q65
Q18947,Laurie Holden,American and Canadian actress,+1969-12-17T00:00:00Z,11,Q65,,,Q65
Q18950,Theo de Raadt,Leader of the OpenBSD project,+1968-05-19T00:00:00Z,11,Q3926,,,Q3926
Q18989,Ryan Newman,"actress, singer and model from the United States",+1998-04-24T00:00:00Z,11,Q568610,,,Q568610
Q19009,Edwin Mattison McMillan,American physicist,+1907-09-18T00:00:00Z,11,Q840678,+1991-09-07T00:00:00Z,11,Q840678
Q19041,Daniel González Güiza,Spanish association football player,+1980-08-17T00:00:00Z,11,Q12303,,,Q12303
Q19054,Matteo Bandello,Italian writer,+1484-00-00T00:00:00Z,9,Q17338,+1561-01-01T00:00:00Z,9,Q17338
Q19061,William Painter,English author and translator,+1540-00-00T00:00:00Z,9,Q23298,+1594-01-01T00:00:00Z,9,Q23298
Q19091,Pál Bajai,Franciscan monk,+1700-01-01T00:00:00Z,8,,+1700-01-01T00:00:00Z,8,
Q19175,Arthur Percival,British army officer in the First and Second World Wars,+1887-12-26T00:00:00Z,11,Q1987354,+1966-01-31T00:00:00Z,11,Q1987354
Q19198,Chester Bennington,American singer-songwriter,+1976-03-20T00:00:00Z,11,Q16556,+2017-07-20T00:00:00Z,11,Q16556
Q19204,Mark Wakefield,American musician,+1974-05-31T00:00:00Z,11,,,,
Q19234,Eddie Ng,Secretary for Education of Hong Kong,+1953-01-01T00:00:00Z,9,Q16572,,,Q16572
Q19242,Bill Anders,astronaut,+1933-10-17T00:00:00Z,11,Q1054923,,,Q1054923
Q19246,Amenemhat IV,Pharaoh of Egypt,-1850-00-00T00:00:00Z,7,,-1790-01-01T00:00:00Z,9,
Q19254,Philip I,Duke of Burgundy from 1350 until his death,+1346-08-05T00:00:00Z,11,Q47828,+1361-11-21T00:00:00Z,11,Q47828
Q19298,Sadeh,ancient Egyptian queen consort,,,,,,
Q19365,Vicente Guaita,Spanish association football player,+1987-01-10T00:00:00Z,11,Q161945,,,Q161945
Q19392,Éver Banega,Argentine association football player,+1988-06-29T00:00:00Z,11,Q52535,,,Q52535
Q19469,George Mikes,Hungarian-born British author,+1912-02-15T00:00:00Z,11,Q728438,+1987-08-30T00:00:00Z,11,Q728438
Q19497,Oscar,"Brazilian association football player, born 1991",+1991-09-09T00:00:00Z,11,Q467421,,,Q467421
Q19837,Steve Jobs,American entrepreneur and co-founder of Apple Inc.,+1955-02-24T00:00:00Z,11,Q62,+2011-10-05T00:00:00Z,11,Q62
Q19943,Juan Carlos I,King of Spain (1975-2014),+1938-01-05T00:00:00Z,11,Q220,,,Q220
Q20014,Louis de Rougemont,explorer with false claims,+1847-11-12T00:00:00Z,11,Q678839,+1921-06-09T00:00:00Z,11,Q678839
Q20018,George Biddell Airy,English mathematician and astronomer,+1801-07-27T00:00:00Z,11,Q1002826,+1892-01-02T00:00:00Z,11,Q1002826
Q20430,Sergey Kapitsa,"Soviet and Russian physicist, TV host",+1928-02-14T00:00:00Z,11,Q350,+2012-08-14T00:00:00Z,11,Q350
Q20550,Ocke Nerong,Schleswig-Holstein teacher and local historian,+1852-01-01T00:00:00Z,9,Q20787,+1909-01-01T00:00:00Z,9,Q20787
Q20618,Jap Peter Hansen,North Frisian writer,+1767-07-08T00:00:00Z,11,Q27998,+1855-08-09T00:00:00Z,11,Q27998
Q20717,Sebastian Ingrosso,Swedish DJ and producer,+1983-04-20T00:00:00Z,11,Q13383459,,,Q13383459
Q20882,Gustave Eiffel,French civil engineer and architect,+1832-12-15T00:00:00Z,11,Q7003,+1923-12-27T00:00:00Z,11,Q7003
Q20894,Robert Esnault-Pelterie,pioneering French aircraft designer and spaceflight theorist,+1881-11-08T00:00:00Z,11,Q275118,+1957-12-06T00:00:00Z,11,Q275118
Q20951,Élisée Reclus,French geographer and writer,+1830-03-15T00:00:00Z,11,Q320233,+1905-07-04T00:00:00Z,11,Q320233
Q21502,Marta Bohn-Meyer,American pilot and engineer,+1957-08-18T00:00:00Z,11,,+2005-09-18T00:00:00Z,11,
Q21556,Mercedes Valdivieso,Chilean feminist writer,+1924-03-01T00:00:00Z,11,Q2887,+1993-08-03T00:00:00Z,11,Q2887
Q21601,Dorothy Donaldson Buchanan,Scottish civil engineer,+1899-10-08T00:00:00Z,11,Q1247384,+1985-06-13T00:00:00Z,11,Q1247384
Q21767,Tracy Caldwell Dyson,American chemist and NASA astronaut,+1969-08-14T00:00:00Z,11,Q534536,,,Q534536
Q21822,Bo Xilai,former Politburo member of the Communist Party of China,+1949-07-03T00:00:00Z,11,Q956,,,Q956
Q21863,Eleanor Coade,"British businesswoman known for manufacturing Neoclassical statues, architectural decorations and garden ornaments",+1733-06-03T00:00:00Z,11,Q134672,+1821-11-16T00:00:00Z,11,Q134672
Q21901,Josephine Cochrane,American inventor,+1839-03-08T00:00:00Z,11,Q575659,+1913-08-03T00:00:00Z,11,Q575659
Q22201,Jim DeMint,United States Senator from South Carolina,+1951-09-02T00:00:00Z,11,Q574192,,,Q574192
Q22290,Olympia Snowe,United States Senator from Maine,+1947-02-21T00:00:00Z,11,Q28206,,,Q28206
Q22513,Zhu De,Marshal of the People's Republic of China,+1886-12-01T00:00:00Z,11,Q11094022,+1976-07-06T00:00:00Z,11,Q11094022
Q22522,Christopher Fettes,founder of the Irish Green Party,+1937-01-01T00:00:00Z,9,Q2413891,,,Q2413891
Q22576,Santeri Paloniemi,Finnish alpine skier,+1993-11-08T00:00:00Z,11,Q207999,,,Q207999
Q23261,Hideaki Anno,Japanese animator and film director,+1960-05-22T00:00:00Z,11,Q468765,,,Q468765
Q23358,Stanley Bruce,"Australian politician, eighth Prime Minister of Australia",+1883-04-15T00:00:00Z,11,Q3141,+1967-08-25T00:00:00Z,11,Q3141
Q23405,Ted Ligety,American alpine skier,+1984-08-31T00:00:00Z,11,Q23337,,,Q23337
Q23421,Alan Foggon,former English footballer,+1950-02-23T00:00:00Z,11,Q7161759,,,Q7161759
Q23437,William Hirstein,American philosopher,+2000-01-01T00:00:00Z,7,Q30,,,Q30
Q23517,Ricky Gervais,"English comedian, actor, director, producer, musician, writer, and former radio presenter",+1961-06-25T00:00:00Z,11,Q161491,,,Q161491
Q23685,Jimmy Carter,"American politician, 39th President of the United States (in office from 1977 to 1981)",+1924-10-01T00:00:00Z,11,Q608527,,,Q608527
Q23755,Kim J. Henriksen,Danish Esperantist singer-musician,+1960-10-28T00:00:00Z,11,Q1748,,,Q1748
Q23766,Ebenezer Howard,"British writer, founder of the garden city movement",+1850-01-29T00:00:00Z,11,Q23311,+1928-05-01T00:00:00Z,11,Q23311
Q23860,Hans Jakob,Esperantist (1891-1967),+1891-12-15T00:00:00Z,11,Q2966,+1967-01-01T00:00:00Z,9,Q2966
Q23880,Lila Downs,Mexican American singer-songwriter,+1968-09-19T00:00:00Z,11,Q34110,,,Q34110
Q23884,Lou Costello,American actor and comedian,+1906-03-06T00:00:00Z,11,Q138391,+1959-03-03T00:00:00Z,11,Q138391
Q23971,Joseph Bergaigne,Roman Catholic archbishop,+1588-01-01T00:00:00Z,9,Q12892,+1647-01-01T00:00:00Z,9,Q12892
Q24002,Andy Panko,American professional basketball player,+1977-11-29T00:00:00Z,11,Q25280,,,Q25280
Q24039,Digby Jones,British businessman and politician,+1955-10-28T00:00:00Z,11,Q2256,,,Q2256
Q24040,Takashi Uchiyama,super featherweight boxer,+1979-11-10T00:00:00Z,11,Q376023,,,Q376023
Q24042,Raúl Banfi,Uruguayan professional football player,+1914-11-14T00:00:00Z,11,Q1335,+1982-12-10T00:00:00Z,11,Q1335
Q24074,Maksymilian Więcek,Polish hockey player,+1920-09-18T00:00:00Z,11,Q807271,+2006-12-28T00:00:00Z,11,Q807271
Q24093,Ernest Ziaja,Polish ice hockey player,+1919-04-11T00:00:00Z,11,Q158485,+1997-01-01T00:00:00Z,9,Q158485
Q24148,Andrey Kashechkin,Kazakhstani road racing cyclist,+1980-03-21T00:00:00Z,11,Q491123,,,Q491123
Q24150,Anthon van Rappard,Dutch painter and draughtsman,+1858-05-14T00:00:00Z,11,Q10056,+1892-03-21T00:00:00Z,11,Q10056
Q24164,Anthony Swarzak,baseball player from the United States,+1985-09-10T00:00:00Z,11,Q165972,,,Q165972
Q24167,Jared Burton,baseball player from the United States,+1981-06-02T00:00:00Z,11,Q2385512,,,Q2385512
Q24211,Aloys Thomas Raimund,Austrian politician and diplomat,+1669-03-07T00:00:00Z,11,Q1741,+1742-11-07T00:00:00Z,11,Q1741
Q24218,Nick Cave,"American fabric sculptor, dancer, and performance artist",+1959-02-04T00:00:00Z,11,Q839802,,,Q839802
Q24263,Helena Antonia,bearded female court dwarf,+1550-01-01T00:00:00Z,9,Q3992,+1595-01-01T00:00:00Z,9,Q3992
Q24278,Thomas E. Gaddis,United States author,+1908-09-14T00:00:00Z,11,Q16554,+1984-10-10T00:00:00Z,11,Q16554
Q24296,Thomas E. Ackerman,American cinematographer,+1948-09-14T00:00:00Z,11,Q486439,,,Q486439
Q24311,Richard Meinertzhagen,"British soldier, intelligence officer and ornithologist known for theft and falsification of specimens",+1878-03-03T00:00:00Z,11,Q288781,+1967-06-17T00:00:00Z,11,Q288781
Q24345,Alexei Maximov,"Soviet-born enamellist, portrait painter of European royals, and oil painter",+1952-01-01T00:00:00Z,9,Q15180,,,Q15180
